"Commission no.","Type (brief)","Type","Baumuster","Vehicle location","Order status financial","Order status logistical","Gross equipment price (repricing)","Additional equipment (enumeration)","Offer code  (enumeration)","Standard-/Special equipment (enumeration)","FIN","Subcategory (ID)","Vehicle alterable until","Requested delivery date",
"1684700210","4140","4140      8x4/4 BG11","96403112","","Ordered / in production","Factory order & alterable","","","","A1U A1Y A2G A6A B1B B1H B1Z B2A B2X B4A B4M C0Y C3G C5P C6J C6Q C6Y C7A C7F C7J C8F C9S CLW CLX D0L D0S D1B D1N D2Y D3X D4Y D5Y D6F D8A E0D E0Q E1U E1Z E2J E3L E3W E4C E5A E5B E5C E6Z F0G F0Y F1P F1S F2C F2G F2M F2U F3A F3W F4I F5L F5Y F6D F6I F6Q F7B F7D F7X F8B F8E F8G F8V G0K G0R G2D G5B G5G G5L I4L I5J I6A I6I I6K I6M I6W J1H J1K J2G J2H J2I J6A J7A J7C J7G J8C J8U K0T K3T K5A K5M K5Q K5Y K7P K7S K7W L0Y L1C L1M L1Q L1W L4Z L9A M0A M0C M0Z M2Q M5A M5S M5U M6L M7I M7V M8A M8Y M9V N6P N6Z O0A O1T O1Z O2N O5J OWY Q0Q Q3A R0Z R1Q R1T R8F R8P S5A S5Z S8C S8D S8E S8F S8H U0Q U1W U3D U3F U3S U3W V0T V0W V0X V0Y V0Z V1B V1Z V2J V8N V8X V9F W8V X1J X2A X2I X3Z X4K Y3L Y4A Y4J Y4P Y4S Y4Z Y6A Z3Z Z4O Z4Q Z5D Z5P Z5X Z5Y","","27B","2026-05-27 00:00:00","2026-07-01",
"1684700211","4140","4140      8x4/4 BG11","96403112","","Ordered / in production","Factory order & alterable","","","","A1U A1Y A2G A6A B1B B1H B1Z B2A B2X B4A B4M C0Y C3G C5P C6J C6Q C6Y C7A C7F C7J C8F C9S CLW CLX D0L D0S D1B D1N D2Y D3X D4Y D5Y D6F D8A E0D E0Q E1U E1Z E2J E3L E3W E4C E5A E5B E5C E6Z F0G F0Y F1P F1S F2C F2G F2M F2U F3A F3W F4I F5L F5Y F6D F6I F6Q F7B F7D F7X F8B F8E F8G F8V G0K G0R G2D G5B G5G G5L I4L I5J I6A I6I I6K I6M I6W J1H J1K J2G J2H J2I J6A J7A J7C J7G J8C J8U K0T K3T K5A K5M K5Q K5Y K7P K7S K7W L0Y L1C L1M L1Q L1W L4Z L9A M0A M0C M0Z M2Q M5A M5S M5U M6L M7I M7V M8A M8Y M9V N6P N6Z O0A O1T O1Z O2N O5J OWY Q0Q Q3A R0Z R1Q R1T R8F R8P S5A S5Z S8C S8D S8E S8F S8H U0Q U1W U3D U3F U3S U3W V0T V0W V0X V0Y V0Z V1B V1Z V2J V8N V8X V9F W8V X1J X2A X2I X3Z X4K Y3L Y4A Y4J Y4P Y4S Y4Z Y6A Z3Z Z4O Z4Q Z5D Z5P Z5X Z5Y","","27B","2026-05-27 00:00:00","2026-07-01",
"1684700212","3253 K","3253 K    8x4/4 B 13","96423012","","Ordered / in production","Factory order & alterable","","JF3C","","A0B A1U A1Y A2E A5R B1B B1F B1H B1Z B2A B2E B2X B4L B9X C0B C2T C5J C5P C5T C6J C6Q C6Y C7K C8F C9Y CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3E D3L D3S D4Z D5V D5Y D6F D6I D6M D6Z D7A D7G D7R D8A E0D E0Q E1U E1W E2J E3E E3L E4C E5A E5B E6Z F0G F1B F1Q F2B F2G F2N F2U F3B F3Y F4I F4X F5L F5Y F6D F6I F6R F6T F6V F7B F7C F7T F7Y F8B F8E F8F F8V F8W G0K G0R G2F G5B G5G G5L I4L I5G I6B I6I I6K I6M I6W J1Z J2K J4X J6E J7A J7G J8U J9A K0T K1Y K3T K5M K5Q K5R K5S K5Y K7N K7R L0A L1C L1D L1G L1M L1P L1Q L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7I M8A M8Y M9V N2E N6Z O0A O1T O1Z O2N O3C O3K O5J O8K OKS OWY OYN OYR OYW P0S P9A P9K Q0Q Q3B R2F R6M S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D T6D U1W U2G U2S U2V U3D U3F U3H U3I U3S V0T V0U V0W V0X V0Z V1B V1W V2J V8B V8X V9F X2A X2I X3Z X4B Y1W Y3L Y4A Y4J Y4Z Y6A Z3Z Z4P Z4Q Z5E Z5M Z5P Z5S Z5X Z5Y Z8P Z8U Z9A","","26A","2026-05-07 00:00:00","2026-07-01",
"1684700213","3253 K","3253 K    8x4/4 B 13","96423012","","Ordered / in production","Factory order & alterable","","JF3C","","A0B A1U A1Y A2E A5R B1B B1F B1H B1Z B2A B2E B2X B4L B9X C0B C2T C5J C5P C5T C6J C6Q C6Y C7K C8F C9Y CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3E D3L D3S D4Z D5V D5Y D6F D6I D6M D6Z D7A D7G D7R D8A E0D E0Q E1U E1W E2J E3E E3L E4C E5A E5B E6Z F0G F1B F1Q F2B F2G F2N F2U F3B F3Y F4I F4X F5L F5Y F6D F6I F6R F6T F6V F7B F7C F7T F7Y F8B F8E F8F F8V F8W G0K G0R G2F G5B G5G G5L I4L I5G I6B I6I I6K I6M I6W J1Z J2K J4X J6E J7A J7G J8U J9A K0T K1Y K3T K5M K5Q K5R K5S K5Y K7N K7R L0A L1C L1D L1G L1M L1P L1Q L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7I M8A M8Y M9V N2E N6Z O0A O1T O1Z O2N O3C O3K O5J O8K OKS OWY OYN OYR OYW P0S P9A P9K Q0Q Q3B R2F R6M S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D T6D U1W U2G U2S U2V U3D U3F U3H U3I U3S V0T V0U V0W V0X V0Z V1B V1W V2J V8B V8X V9F X2A X2I X3Z X4B Y1W Y3L Y4A Y4J Y4Z Y6A Z3Z Z4P Z4Q Z5E Z5M Z5P Z5S Z5X Z5Y Z8P Z8U Z9A","","26A","2026-05-07 00:00:00","2026-07-01",
"1684700214","3253 K","3253 K    8x4/4 B 13","96423012","","Ordered / in production","Factory order & alterable","","JF3C","","A0B A1U A1Y A2E A5R B1B B1F B1H B1Z B2A B2E B2X B4L B9X C0B C2T C5J C5P C5T C6J C6Q C6Y C7K C8F C9Y CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3E D3L D3S D4Z D5V D5Y D6F D6I D6M D6Z D7A D7G D7R D8A E0D E0Q E1U E1W E2J E3E E3L E4C E5A E5B E6Z F0G F1B F1Q F2B F2G F2N F2U F3B F3Y F4I F4X F5L F5Y F6D F6I F6R F6T F6V F7B F7C F7T F7Y F8B F8E F8F F8V F8W G0K G0R G2F G5B G5G G5L I4L I5G I6B I6I I6K I6M I6W J1Z J2K J4X J6E J7A J7G J8U J9A K0T K1Y K3T K5M K5Q K5R K5S K5Y K7N K7R L0A L1C L1D L1G L1M L1P L1Q L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7I M8A M8Y M9V N2E N6Z O0A O1T O1Z O2N O3C O3K O5J O8K OKS OWY OYN OYR OYW P0S P9A P9K Q0Q Q3B R2F R6M S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D T6D U1W U2G U2S U2V U3D U3F U3H U3I U3S V0T V0U V0W V0X V0Z V1B V1W V2J V8B V8X V9F X2A X2I X3Z X4B Y1W Y3L Y4A Y4J Y4Z Y6A Z3Z Z4P Z4Q Z5E Z5M Z5P Z5S Z5X Z5Y Z8P Z8U Z9A","","26A","2026-05-07 00:00:00","2026-07-01",
"1684700215","3253 K","3253 K    8x4/4 B 13","96423012","","Ordered / in production","Factory order & alterable","","JF3C","","A0B A1U A1Y A2E A5R B1B B1F B1H B1Z B2A B2E B2X B4L B9X C0B C2T C5J C5P C5T C6J C6Q C6Y C7K C8F C9Y CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3E D3L D3S D4Z D5V D5Y D6F D6I D6M D6Z D7A D7G D7R D8A E0D E0Q E1U E1W E2J E3E E3L E4C E5A E5B E6Z F0G F1B F1Q F2B F2G F2N F2U F3B F3Y F4I F4X F5L F5Y F6D F6I F6R F6T F6V F7B F7C F7T F7Y F8B F8E F8F F8V F8W G0K G0R G2F G5B G5G G5L I4L I5G I6B I6I I6K I6M I6W J1Z J2K J4X J6E J7A J7G J8U J9A K0T K1Y K3T K5M K5Q K5R K5S K5Y K7N K7R L0A L1C L1D L1G L1M L1P L1Q L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7I M8A M8Y M9V N2E N6Z O0A O1T O1Z O2N O3C O3K O5J O8K OKS OWY OYN OYR OYW P0S P9A P9K Q0Q Q3B R2F R6M S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D T6D U1W U2G U2S U2V U3D U3F U3H U3I U3S V0T V0U V0W V0X V0Z V1B V1W V2J V8B V8X V9F X2A X2I X3Z X4B Y1W Y3L Y4A Y4J Y4Z Y6A Z3Z Z4P Z4Q Z5E Z5M Z5P Z5S Z5X Z5Y Z8P Z8U Z9A","","26A","2026-05-07 00:00:00","2026-07-01",
"1684700216","3253 K","3253 K    8x4/4 B 13","96423012","","Ordered / in production","Factory order & alterable","","JF3C","","A0B A1U A1Y A2E A5R B1B B1F B1H B1Z B2A B2E B2X B4L B9X C0B C2T C5J C5P C5T C6J C6Q C6Y C7K C8F C9Y CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3E D3L D3S D4Z D5V D5Y D6F D6I D6M D6Z D7A D7G D7R D8A E0D E0Q E1U E1W E2J E3E E3L E4C E5A E5B E6Z F0G F1B F1Q F2B F2G F2N F2U F3B F3Y F4I F4X F5L F5Y F6D F6I F6R F6T F6V F7B F7C F7T F7Y F8B F8E F8F F8V F8W G0K G0R G2F G5B G5G G5L I4L I5G I6B I6I I6K I6M I6W J1Z J2K J4X J6E J7A J7G J8U J9A K0T K1Y K3T K5M K5Q K5R K5S K5Y K7N K7R L0A L1C L1D L1G L1M L1P L1Q L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7I M8A M8Y M9V N2E N6Z O0A O1T O1Z O2N O3C O3K O5J O8K OKS OWY OYN OYR OYW P0S P9A P9K Q0Q Q3B R2F R6M S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D T6D U1W U2G U2S U2V U3D U3F U3H U3I U3S V0T V0U V0W V0X V0Z V1B V1W V2J V8B V8X V9F X2A X2I X3Z X4B Y1W Y3L Y4A Y4J Y4Z Y6A Z3Z Z4P Z4Q Z5E Z5M Z5P Z5S Z5X Z5Y Z8P Z8U Z9A","","26A","2026-05-07 00:00:00","2026-07-01",
"1684700217","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E2J E3E E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6D Q6W R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-05-27 00:00:00","2026-07-01",
"1684700218","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E2J E3E E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6D Q6W R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-05-28 00:00:00","2026-07-01",
"1684700219","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E2J E3E E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6D Q6W R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-05-27 00:00:00","2026-07-01",
"1684700220","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E2J E3E E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6D Q6W R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-05-28 00:00:00","2026-07-01",
"1684700221","2851 LSDNA","2851 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSJ CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6D Q6W R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5Q Z5X Z5Y","","24A","2026-03-18 00:00:00","2026-04-01",
"1684700223","4153 L","4153 L    8x4/4 B 13","96403812","","Ordered / in production","Factory order & alterable","","JC7K JC9B JCAL JCKD JCRP JCUX JK3V JKTO JKUR JKVY JQYY JW7Y JZYU","AHM04-35","A0B A1D A1Z A2E A5C B1B B1F B1H B2A B2X B4M C3S C4R C5P C6J C6Q C7A C7F C7I C7J C8F C8I C9S CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3R D3S D4J D4Q D4S D4Z D5F D5O D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1U E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F0T F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Y F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7X F8B F8E F8F F8V F8W G0K G0R G2E G5A G5G G5L I4L I5G I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1E K3T K5M K5Q K5S K5Y K7N K7S L0A L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7U M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O5J O8K OWY OYL OYN OYP OYR Q1X Q8N R2K S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W7G X2A X2I X2V X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z7N Z7P Z8M Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700224","4153 L","4153 L    8x4/4 B 13","96403812","","Ordered / in production","Factory order & alterable","","JC7K JC9B JCAL JCKD JCRP JCUX JK3V JKTO JKUR JKVY JQYY JW7Y JZYU","AHM04-35","A0B A1D A1Z A2E A5C B1B B1F B1H B2A B2X B4M C3S C4R C5P C6J C6Q C7A C7F C7I C7J C8F C8I C9S CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3R D3S D4J D4Q D4S D4Z D5F D5O D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1U E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F0T F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Y F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7X F8B F8E F8F F8V F8W G0K G0R G2E G5A G5G G5L I4L I5G I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1E K3T K5M K5Q K5S K5Y K7N K7S L0A L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7U M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O5J O8K OWY OYL OYN OYP OYR Q1X Q8N R2K S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W7G X2A X2I X2V X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z7N Z7P Z8M Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700225","4153 L","4153 L    8x4/4 B 13","96403812","","Ordered / in production","Factory order & alterable","","JC7K JC9B JCAL JCKD JCRP JCUX JK3V JKTO JKUR JKVY JQYY JW7Y JZYU","AHM04-35","A0B A1D A1Z A2E A5C B1B B1F B1H B2A B2X B4M C3S C4R C5P C6J C6Q C7A C7F C7I C7J C8F C8I C9S CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3R D3S D4J D4Q D4S D4Z D5F D5O D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1U E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F0T F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Y F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7X F8B F8E F8F F8V F8W G0K G0R G2E G5A G5G G5L I4L I5G I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1E K3T K5M K5Q K5S K5Y K7N K7S L0A L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7U M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O5J O8K OWY OYL OYN OYP OYR Q1X Q8N R2K S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W7G X2A X2I X2V X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z7N Z7P Z8M Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700226","4153 L","4153 L    8x4/4 B 13","96403812","","Ordered / in production","Factory order & alterable","","JC7K JC9B JCAL JCKD JCRP JCUX JK3V JKTO JKUR JKVY JQYY JW7Y JZYU","AHM04-35","A0B A1D A1Z A2E A5C B1B B1F B1H B2A B2X B4M C3S C4R C5P C6J C6Q C7A C7F C7I C7J C8F C8I C9S CLW CLX D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3R D3S D4J D4Q D4S D4Z D5F D5O D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1U E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F0T F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Y F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7X F8B F8E F8F F8V F8W G0K G0R G2E G5A G5G G5L I4L I5G I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1E K3T K5M K5Q K5S K5Y K7N K7S L0A L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3E M4X M5D M5V M6L M7U M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O5J O8K OWY OYL OYN OYP OYR Q1X Q8N R2K S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W7G X2A X2I X2V X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z7N Z7P Z8M Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700227","2851 L","2851 L    6x4   B 13","96402412","","Ordered / in production","Factory order & alterable","","JCWV JCXX JK0U JK4E JR6M","","A0B A1E A1Y A2E A5D B1B B1F B1H B2A B2X B4M C3J C5P C6C C6I C6Q C7A C7F C7I C7J C8F C8I C9E C9S D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3K D3L D4S D4Z D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1M E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E9H F0F F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7Y F8B F8E F8F F8V F8W G0A G0K G0R G2E G5A G5G G5L I4I I5F I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1C K3V K5M K5Q K5Y K7N L0A L0Y L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3D M4X M5D M5V M6L M7T M8D M8Y N1G N6Z O0A O1S O1Z O2N O3D O3J O3K O5J O8K OWY OYL OYN OYR Q1Y Q8N R2K R2U S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W4J X2A X2I X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
